CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,STANDARD_VALUE_LOG,TYPE,TYPE_LABEL,AlogP,NumHAcceptors,NumHDonors,NumRotatableBonds,FractionCSP3,TPSA,LogP_WildmanCrippen
CHEMBL515943,526.64,CCN(CC)c1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,1.77,10,3,15,0.476190476,163.06,1.7737
CHEMBL436646,523.62,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(S(N)(=O)=O)ccc3N2)c1=O,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,1.93,10,3,10,0.25,173.81,1.9319
CHEMBL2431540,487.54,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCOCC2)cc1F,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,3.52,5,3,7,0.222222222,99.35,3.5184
CHEMBL239596,452.99,CC(C)N1CCN(C2CCc3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc32)CC1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,4.98,6,0,8,0.44,54.63,4.9823
CHEMBL1835131,438.55,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCCC4)n3)cc2)C1=O,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,4.29,4,0,9,0.48,56.75,4.2938
CHEMBL571039,437.49,COc1ccc(CCN2C(=O)N(NS(=O)(=O)CF)C[C@@H]2c2ccc(OC)cc2)cc1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,2.49,5,1,11,0.35,88.18,2.4866
CHEMBL3746909,423.47,C[C@@H]1C[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3ccccc3F)n2)C1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,3.85,5,2,6,0.260869565,84.14,3.8476
CHEMBL585163,417.53,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C)c(C)c2)cc1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,2.8,4,1,11,0.380952381,78.95,2.79764
CHEMBL3758840,415.98,CC(CCNCC12CC3CC(CC(C3)C1)C2)Nc1c(F)cnc2cc(Cl)ccc12,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,6.02,3,2,8,0.625,36.95,6.0238
CHEMBL1209556,387.43,CC(C)CC1n2cncc2CN(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,3.79,4,0,6,0.470588235,55.2,3.7922
