CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,,STANDARD_VALUE_LOG,,TYPE,TYPE_LABEL
CHEMBL3926509,348.49,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cnccn1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3901677,347.5,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)C1=CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3931893,347.5,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1=CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3910264,347.5,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](O)CC[C@@]43C)C1=CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3967106,347.5,C[C@]12CC[C@H]3[C@@H](CC(O)C45CC4CC[C@]35C)C1=CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3964049,346.47,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)C1=CC=C2c1cncnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3903809,345.49,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3896576,345.49,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)C1=CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3891132,343.47,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)C1=CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3957632,343.47,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)C1=CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
